module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00144	NADH:quinone oxidoreductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00148	Succinate dehydrogenase (ubiquinone)	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00149	Succinate dehydrogenase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00150	Fumarate reductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00151	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00152	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00153	Cytochrome bd ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	1.0000	0	1
M00154	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00155	Cytochrome c oxidase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	1.0000	0.0000	1.0000	1	1
M00156	Cytochrome c oxidase, cbb3-type	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00158	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00159	V/A-type ATPase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00160	V-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00161	Photosystem II	Pathway modules; Energy metabolism; Photosynthesis	1	0.0000	0.0000	0.0000	0	0
M00162	Cytochrome b6f complex	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00163	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	1	0.0000	0.0000	0.0000	0	0
M00165	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	11	0.0909	0.6364	0.6364	0	0
M00168	CAM (Crassulacean acid metabolism), dark	Pathway modules; Energy metabolism; Carbon fixation	2	0.0000	0.5000	0.5000	0	0
M00169	CAM (Crassulacean acid metabolism), light	Pathway modules; Energy metabolism; Carbon fixation	2	0.0000	0.0000	0.0000	0	0
