accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_000755805.1	Burkholderia cepacia	environmental_other	isolation_source=aerosol sample		Aerosol sample		unknown
GCF_000755825.1	Burkholderia pseudomallei	unknown	no usable metadata		unknown		unknown
GCF_000755845.1	Burkholderia mallei	human_clinical	isolation_source=human		human		unknown
GCF_000755865.1	Burkholderia mallei	unknown	no usable metadata		Knee fluid		Myanmar
GCF_000755885.1	Burkholderia mallei	animal	isolation_source=horse		horse		India
GCF_000755905.1	Burkholderia pseudomallei HBPUB10303a	human_clinical	isolation_source=tracheal suction		tracheal suction		unknown
GCF_000755925.1	Burkholderia pseudomallei HBPUB10134a	human_clinical	isolation_source=tracheal suction		Tracheal suction		unknown
GCF_000755945.1	Burkholderia pseudomallei MSHR5858	human_clinical	host=homo sapiens	Homo sapiens	sputum		Australia
GCF_000755965.1	Burkholderia pseudomallei MSHR5848	human_clinical	host=homo sapiens	Homo sapiens	sputum		Australia
GCF_000755985.1	Burkholderia oklahomensis	unknown	no usable metadata		Conjuctival		USA: Georgia
GCF_000756005.1	Burkholderia multivorans	environmental_other	isolation_source=aerosol sample		Aerosol sample		unknown
GCF_000756025.1	Burkholderia mallei	unknown	no usable metadata		unknown		Hungary
GCF_000756045.1	Paraburkholderia xenovorans LB400	unknown	no usable metadata		unknown		unknown
GCF_000756065.1	Burkholderia pseudomallei MSHR5855	human_clinical	host=homo sapiens	Homo sapiens	sputum		Australia
GCF_000756085.1	Burkholderia pseudomallei	unknown	no usable metadata		unknown		Thailand
GCF_000756125.1	Burkholderia pseudomallei	unknown	no usable metadata		unknown		Thailand
GCF_000756145.1	Burkholderia pseudomallei	human_clinical	isolation_source=liver		liver		Thailand: Ubon Ratchathani
GCF_000756165.1	Burkholderia pseudomallei	unknown	no usable metadata		unknown		unknown
GCF_000756185.1	Burkholderia pseudomallei 576	unknown	no usable metadata		unknown		Thailand
GCF_000757015.2	Burkholderia pseudomallei	unknown	no usable metadata		unknown		Thailand
GCF_000757035.2	Burkholderia pseudomallei Pasteur 52237	unknown	no usable metadata		unknown		Viet Nam
GCF_000762285.1	Burkholderia mallei NCTC 10247	unknown	no usable metadata		unknown		Turkey: Ankara
GCF_000764575.1	Burkholderia pseudomallei NAU35A-3	soil	isolation_source=soil		soil		Australia
GCF_000764595.1	Burkholderia thailandensis MSMB59	soil	isolation_source=soil		soil		Australia: Northern Territory, Darwin
GCF_000764955.1	Burkholderia cenocepacia	soil	isolation_source=soil		soil		unknown
GCF_000765375.1	Burkholderia thailandensis E254	soil	isolation_source=soil		soil		Thailand
GCF_000770395.1	Burkholderia pseudomallei MSHR62	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate		Australia
GCF_000770455.1	Burkholderia pseudomallei B03	environmental_other	isolation_source=environmental sample		environmental sample		Papua New Guinea: record deposited as Australia
GCF_000770495.1	Burkholderia pseudomallei TSV 48	environmental_other	isolation_source=environmental sample		environmental sample		Australia
GCF_000770515.1	Burkholderia pseudomallei K42	environmental_other	isolation_source=environmental sample		environmental sample		Papua New Guinea: record deposited as Australia
GCF_000770535.1	Burkholderia pseudomallei A79A	environmental_other	isolation_source=environmental sample		environmental sample		Papua New Guinea: record deposited as Australia
GCF_000770565.1	Burkholderia pseudomallei	environmental_other	isolation_source=environmental sample		environmental sample		Australia
GCF_000808035.2	Burkholderia thailandensis	human_clinical	isolation_source=blood		blood		USA: Texas
GCF_000828875.1	Caballeronia cordobensis	insect	env_local=the midgut of the bean bug riptortus pedestris	Riptortus pedestris			Japan: the bug was collected in Tsukuba
GCF_000835205.1	Burkholderia plantarii	unknown	no usable metadata		missing		missing
GCF_000953095.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	pus		Thailand
GCF_000954175.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	melioidosis	Taiwan: Kaohsiung Veterans General Hospital, Kaohsiung
GCF_000959125.1	Burkholderia pseudomallei 1026b	human_clinical	host=homo sapiens	Homo sapiens	Septicemic melioidosis patient blood sample		Thailand
GCF_000959145.1	Burkholderia pseudomallei 406e	human_clinical	host=homo sapiens	Homo sapiens	human		Thailand
GCF_000959165.1	Burkholderia mallei	unknown	no usable metadata		Guinea pig		Hungary
GCF_000959185.1	Burkholderia pseudomallei MSHR840	human_clinical	isolation_source=human brain tissue		Human Brain Tissue		Australia: Ipswitch
GCF_000959205.1	Burkholderia pseudomallei MSHR491	water	isolation_source=community water supply storage tank		community water supply storage tank		Australia: Northern Territory
